number,ortho,mean
3752,omleckshaw,-110
2247,gunb,-110
2838,kyodilia,-110
3685,oineuth,-110
6011,yfish,-110
3664,ogifirth,-110
4374,puddazook,-110
2672,jodunch,-110
3485,nooduve,-110
5956,worshebouch,-109
2783,kiag,-109
5975,yalwens,-109
5266,thwangstor,-109
3709,oistloyer,-109
2193,goosisia,-109
2584,ivul,-109
5288,tiastount,-109
1886,ficienout,-109
3858,oreagernoo,-109
5448,uggilth,-109
5595,ussicort,-109
918,chauverg,-109
1636,ercuz,-109
2256,gusbia,-109
5279,tiacoir,-109
92,aggeffener,-109
2819,knowdi,-109
71,adverzebb,-109
3678,oient,-109
513,ayleav,-109
2812,knitorp,-109
2364,hiberfec,-109
4300,poovergoo,-109
2011,fulldspor,-108
1627,ercheatwick,-108
3727,olftisher,-108
2666,jnigger,-108
1334,doyenual,-108
6018,yodepith,-108
4310,porslou,-108
491,avvys,-108
26,ackdort,-108
5207,thithmager,-108
107,ajud,-108
2102,genoi,-108
5946,wooshrpuss,-108
2775,kerthrowuch,-108
3675,ogunch,-108
2826,koroemy,-108
5270,thyceroi,-108
735,bovelu,-108
743,boxp,-108
3469,noelk,-108
3920,ortrelud,-108
5654,vasqueez,-107
5936,woolowso,-107
4949,soyallo,-107
5327,torpeb,-107
109,akizar,-107
2270,gwych,-107
2452,ifigar,-107
1704,ersashfoot,-107
1572,enibiad,-107
5564,urgipia,-107
2965,lleony,-107
1161,cyonsco,-107
5809,vunc,-107
1889,figiporp,-107
4691,scoheroi,-107
4,abdi,-107
279,arealabur,-107
411,atlosslou,-107
2442,idosurp,-107
2529,irlad,-107
4413,pyneurn,-107
4404,putnioc,-107
1573,enidjuria,-107
1028,cirlowd,-106
4031,outebab,-106
5108,tepsoger,-106
168,amnebouch,-106
3574,obip,-106
4361,psedup,-106
1313,dorstoi,-106
2533,irlifier,-106
5280,tiaevuous,-106
3551,nusiuma,-106
4650,sakazi,-106
5900,whenmaph,-106
691,bolv,-106
1782,evombo,-106
1794,eyanariat,-106
1483,edvim,-106
223,aortsing,-106
252,arbootso,-106
2680,joistosh,-106
1942,foilibyan,-106
4725,shakito,-106
2262,gusua,-106
3012,lookrudg,-105
3442,nichu,-105
4293,pongaws,-105
2844,kypota,-105
1943,foilivow,-105
4953,soyatawser,-105
5768,voodlywal,-105
5232,thrudg,-105
3686,oinkfoiber,-105
127,allbitiae,-105
4838,sirdarf,-105
5404,twebon,-105
2032,fyal,-105
649,bitamou,-105
1904,fiverg,-105
2463,ikazoo,-105
3540,nurbao,-105
6073,zircolvo,-105
183,anerpor,-104
1660,ergenang,-104
4043,ouzoa,-104
2108,gerskirger,-104
2560,iteor,-104
1388,dwet,-104
5409,twombia,-104
267,arcogmit,-104
1023,ciourush,-104
3237,mobverda,-104
3700,oinxia,-104
3707,oistemec,-104
2612,jamachu,-104
4053,owansuff,-104
3523,nuggesad,-104
3412,nenvun,-104
5598,ussuroy,-104
3852,ordraffi,-104
5652,vasnarl,-104
3075,lunnicua,-103
4241,pidelurg,-103
1669,erinsk,-103
5441,uddithy,-103
3704,oistarmarsh,-103
5320,toosedd,-103
4154,peosoa,-103
581,bartnuta,-103
947,chesierrau,-103
2201,gorpupi,-103
3554,nuxu,-103
1112,creoroit,-103
2403,iadder,-103
2808,kneadua,-103
2268,gwammo,-103
1664,ergerob,-103
5118,terpsomi,-103
1430,eatwagua,-103
1447,eceluff,-103
1929,fmeal,-103
1784,evravoil,-103
4414,pyregong,-103
3569,obbyredo,-103
3451,nithmeth,-103
5027,suetoomy,-103
3169,medejoic,-103
2950,litferby,-103
3889,ormotiacker,-103
84,aftiv,-103
5211,thkinner,-103
3441,nicedou,-102
5519,uppituat,-102
2940,liku,-102
1327,doyeneat,-102
4473,ratpder,-102
5293,tinoi,-102
5670,veckneap,-102
2521,iralither,-102
3912,orsutiae,-102
1815,fakwerp,-102
4698,seatedas,-102
5554,urchioly,-102
3652,offu,-102
3660,ogadher,-102
2964,llegroy,-102
3680,oilinhad,-102
4511,reutergar,-102
406,athloro,-102
1345,dreosoma,-102
2918,leosotag,-102
2941,lilb,-102
678,bodgeffa,-101
5790,vousi,-101
3553,nuum,-101
3748,omemilloy,-101
3894,ornitulm,-101
3287,morgserk,-101
1300,donotau,-101
1806,ezzaner,-101
4249,pinoisod,-101
1722,erzosh,-101
1642,ereav,-101
4876,smav,-101
4369,psum,-101
18,achado,-101
1711,ertgoos,-101
