number,ortho,mean
5014,stylerchi,-1.205903033
932,chefadob,-1.204829576
4145,pejoi,-1.204165425
4112,pariusoa,-1.203991269
1178,daki,-1.201414343
1914,floniu,-1.201268757
4620,runnych,-1.201100436
690,bolov,-1.20091489
5012,stua,-1.200443997
4332,poutiki,-1.200399488
2739,jutaph,-1.200180538
5969,xenosge,-1.200171268
4052,owalch,-1.199545597
4558,rointma,-1.198357695
2294,hamneso,-1.198282942
1755,ethneffad,-1.19705841
3528,nukroth,-1.196997974
4865,sloofalor,-1.196693494
4047,oveosoa,-1.196662819
4684,scaj,-1.195570547
4054,owanu,-1.195358127
1863,ferasu,-1.195295908
866,cerjar,-1.194649155
7,aboouca,-1.194602022
538,azeb,-1.192797729
903,charejiff,-1.192017415
3654,ofinert,-1.191828865
5502,unniferto,-1.190842015
2991,loisappea,-1.190611344
5745,vodusea,-1.190119324
1274,dobiolch,-1.190108314
2375,hithernco,-1.190035968
4341,ppill,-1.189314889
199,annadjun,-1.188572293
5206,thithithing,-1.188266796
911,chartmachu,-1.18758482
3711,oistos,-1.187539744
4970,sphib,-1.186861656
2985,logilf,-1.186497334
3848,ordialuor,-1.186426684
3464,noddejoin,-1.185972829
2111,gestusp,-1.185730023
5874,weavogis,-1.185721478
2394,husidmia,-1.185359532
4891,snortsior,-1.185293478
1673,erjerby,-1.185113532
1980,founspoo,-1.184554761
1475,edoutigo,-1.184099585
140,almassmerm,-1.183361816
2527,irkipped,-1.18324242
912,charypib,-1.182972633
996,churlifob,-1.182720144
108,akilaf,-1.182434443
1461,edauburther,-1.182006882
1522,eleuish,-1.181194266
962,chimevog,-1.180631145
5991,yeaseam,-1.180230647
2390,hurnov,-1.179839697
1602,epsuo,-1.179806105
5836,wakerlky,-1.179777527
2286,halialch,-1.179480784
5050,sussiplur,-1.177833684
2564,itfersius,-1.177807621
2866,lallerg,-1.177537853
2747,kanguiff,-1.176458859
5186,thimoom,-1.17600665
3475,nointuum,-1.17481997
1104,coypuch,-1.173440946
4996,ssasaw,-1.17253828
3413,neonsh,-1.171773293
2114,getzim,-1.171473094
3502,normenshi,-1.170403873
1020,cifteor,-1.17027684
4025,ousadornea,-1.169293294
4848,sizoneath,-1.168165053
2357,hessacoit,-1.165180247
4700,seddonti,-1.16418713
5348,townjov,-1.163522784
3733,ollych,-1.16330737
2026,furquir,-1.163128927
5273,thyriaffed,-1.163008122
889,chamcarv,-1.162549842
1740,esurl,-1.161770341
1285,doffgon,-1.161080779
5504,unnishebor,-1.158033182
3726,olftath,-1.156902939
4247,pinnaoa,-1.15639063
2579,ivolv,-1.15634583
1610,epurlodi,-1.156026831
2557,itbam,-1.155600138
1053,coietreach,-1.155198926
5970,xerolfed,-1.154917114
3928,oryluca,-1.154576401
1119,crubilch,-1.154423405
931,chedwi,-1.152964912
2911,lemlol,-1.152944971
4011,oungea,-1.152416564
5521,upplysia,-1.151861529
3201,miertatia,-1.151353572
2608,jagglu,-1.15096753
3981,otlagno,-1.1505138
5559,urgazump,-1.15034626
2709,joverjar,-1.150248863
5498,unkwether,-1.149189844
1883,fibof,-1.148939766
6053,zanyfir,-1.148651989
6012,yingeyan,-1.148240415
1150,curspoi,-1.147927852
1821,fangoso,-1.146478017
112,alcyo,-1.145710638
5056,swernos,-1.144848912
5596,ussim,-1.144354711
3048,lovizoa,-1.144049977
3787,oozurk,-1.143730126
1601,epplinoin,-1.1436254
3303,motiraq,-1.143347213
1684,ermav,-1.142041224
4829,shushebouch,-1.141711554
4647,saicadger,-1.141474991
4886,snawak,-1.140851072
4518,riancyon,-1.140245127
5059,swobst,-1.140207785
3728,olgerboun,-1.139884086
558,balav,-1.139333854
488,avortedder,-1.138708065
2848,kyroit,-1.138430244
2544,ishickshaw,-1.138403114
4531,rija,-1.138142159
1012,ciag,-1.137844777
2597,jabjull,-1.137581136
2228,groyalloo,-1.137328921
2516,ipporti,-1.13731456
4402,pusorowl,-1.136180856
1860,feosotow,-1.136087605
468,autidicher,-1.135997249
3613,ocoersom,-1.135890073
3418,nerchavun,-1.134772314
503,ayaroun,-1.133950466
5764,voodectia,-1.133851987
1878,fiadmia,-1.132887032
1653,ergarl,-1.131918431
1426,eaturoint,-1.131701878
3488,nookadher,-1.1314442
2633,jawierr,-1.130781286
3987,otre,-1.130596474
2514,ipmums,-1.130499995
2906,lebouteor,-1.129865395
5237,thubi,-1.129694112
5351,tpass,-1.12949172
5445,uerno,-1.129044347
3215,minps,-1.12885976
176,anarooc,-1.12879284
5669,veac,-1.128181789
5697,vertelch,-1.127772341
5707,vetuat,-1.127071556
3849,ordlatong,-1.126336534
5122,tethref,-1.125944914
3674,ogumny,-1.125401396
1888,fidorlosh,-1.125259732
6016,yobbysium,-1.124740362
4326,pousamol,-1.123736814
5178,thiantad,-1.123257584
648,birkersa,-1.123116695
1134,curartyl,-1.122257716
1652,erfuzz,-1.121494689
69,adulg,-1.120986609
1915,florzoi,-1.120619025
4616,rumf,-1.120140472
5430,uctul,-1.119322901
566,baobarl,-1.118898451
